id,year,title,description,order,created_at,updated_at
0272a3fc-d19d-4557-ba05-39759368fa4e,2001,春季入替戦,昇格（6部→5部）,2,2026-01-10 08:21:31.888716+00,2026-01-10 08:21:31.888716+00
05bb865b-9e38-4eec-9fc0-5d245378c351,2025,2025年度関東学生春季リーグ戦,第1対戦：勝利、第3対戦：勝利、第2対戦：勝利、第5対戦：勝利、入れ替え戦：勝利、第4対戦：勝利,2,2026-01-11 09:19:00.536918+00,2026-01-11 09:19:00.536918+00
06e3adac-1086-4e85-8fe4-f9200d9c0d8b,2001,春季リーグ,6部2位,1,2026-01-10 08:21:31.888716+00,2026-01-10 08:21:31.888716+00
0c1318e1-5e3f-4fcf-885c-df81b2710614,2025,東日本学生大学対抗,0勝1敗,3,2026-01-11 09:19:25.024869+00,2026-01-11 09:19:25.024869+00
0e573ab2-56a9-483f-9022-bfaa1c036502,2024,春季リーグ,2部1位,1,2026-01-10 08:21:31.888716+00,2026-01-10 08:21:31.888716+00
0ee52d61-ea5b-4bf8-8376-61e857ec33e7,2002,秋季リーグ,5部5位,1,2026-01-10 08:21:31.888716+00,2026-01-10 08:21:31.888716+00
18e1985a-6369-47a0-aff6-7f7ead8a2bfd,2004,全日本学生選手権,千葉・本村組 出場,3,2026-01-10 08:21:31.888716+00,2026-01-10 08:21:31.888716+00
1eb5cbec-941c-43a8-891b-14985e334ee9,2025,東日本学生大学対抗,5回戦：敗退,5,2026-01-11 09:19:00.536918+00,2026-01-11 09:19:00.536918+00
20f192d8-353f-4915-a897-d5f4af8e2914,2005,全日本学生選手権,鳥谷部・高田組 出場,3,2026-01-10 08:21:31.888716+00,2026-01-10 08:21:31.888716+00
24ea8f61-6b6d-496e-bdba-a6f346268524,1999,神奈川県大会,岡永知也 優勝,2,2026-01-10 08:21:31.888716+00,2026-01-10 08:21:31.888716+00
2be37291-6500-4112-beeb-7b595cca085c,2005,春季リーグ,2部3位,1,2026-01-10 08:21:31.888716+00,2026-01-10 08:21:31.888716+00
2de7cef3-99ca-437c-8071-bc6e1250d15e,2001,秋季リーグ,5部6位,3,2026-01-10 08:21:31.888716+00,2026-01-10 08:21:31.888716+00
